Id,District Name,Neighborhood Name,Street,Year,Month,Weekday,Part of the day
2017S001349    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,ARIBAU                                            ,2017,February,Friday,Afternoon
2017S001351    ,Horta-Guinardó,el Baix Guinardó,TRAV GRÀCIA / Padilla                             ,2017,February,Friday,Afternoon
2017S001353    ,Nou Barris,les Roquetes,VIDAL I GUASCH / Pla de Fornells                  ,2017,February,Friday,Night
2017S001352    ,Sant Martí,el Camp de l'Arpa del Clot,AV MERIDIANA / València                           ,2017,February,Friday,Night
2017S001354    ,Horta-Guinardó,el Carmel,SANTUARI                                          ,2017,February,Saturday,Night
2017S001357    ,Horta-Guinardó,Horta,CIÈNCIES                                          ,2017,February,Saturday,Night
2017S001356    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,AV LITORAL / Josep Pla                            ,2017,February,Saturday,Morning
2017S001358    ,Eixample,la Sagrada Família,CÒRSEGA / Marina                                  ,2017,February,Saturday,Morning
2017S001355    ,Sants-Montjuïc,la Font de la Guatlla,GV CORTS CATALANES                                ,2017,February,Saturday,Morning
2017S001359    ,Les Corts,Pedralbes,JOHN M. KEYNES                                    ,2017,February,Saturday,Morning
2017S001361    ,Eixample,la Dreta de l'Eixample,VALÈNCIA / Rbla Catalunya                         ,2017,February,Saturday,Morning
2017S001362    ,Eixample,la Dreta de l'Eixample,FONTANELLA                                        ,2017,February,Saturday,Morning
2017S001363    ,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",RDA LITORAL(BESÒS)                                ,2017,February,Saturday,Morning
2017S001364    ,Sant Martí,el Besòs i el Maresme,RDA LITORAL(LLOBRE                                ,2017,February,Saturday,Morning
2017S001366    ,Sant Martí,el Poblenou,BILBAO / Pujades                                  ,2017,February,Saturday,Afternoon
2017S001367    ,Sant Andreu,el Bon Pastor,RDA LITORAL(BESÒS)                                ,2017,February,Saturday,Afternoon
2017S001365    ,Horta-Guinardó,la Vall d'Hebron,PG VALL D'HEBRON                                  ,2017,February,Saturday,Afternoon
2017S001369    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,ARIBAU / Marià Cubí                               ,2017,February,Saturday,Afternoon
2017S001368    ,Horta-Guinardó,el Guinardó,PG MARAGALL                                       ,2017,February,Saturday,Afternoon
2017S001370    ,Sant Andreu,el Bon Pastor,CIUTAT D'ASUNCIÓN                                 ,2017,February,Saturday,Afternoon
2017S001371    ,Eixample,la Nova Esquerra de l'Eixample,ARAGÓ / Viladomat                                 ,2017,February,Saturday,Afternoon
2017S001373    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,TRAV GRÀCIA                                       ,2017,February,Saturday,Afternoon
2017S001376    ,Eixample,el Fort Pienc,NÀPOLS                                            ,2017,February,Saturday,Afternoon
2017S001372    ,Sant Martí,el Parc i la Llacuna del Poblenou,SARDENYA                                          ,2017,February,Saturday,Afternoon
2017S001374    ,Eixample,Sant Antoni,PL UNIVERSITAT                                    ,2017,February,Saturday,Afternoon
2017S001375    ,Ciutat Vella,el Raval,RAMBLA                                            ,2017,February,Saturday,Afternoon
2017S001377    ,Sant Andreu,el Bon Pastor,RDA LITORAL(LLOBRE                                ,2017,February,Saturday,Afternoon
2017S001426    ,Sant Martí,el Camp de l'Arpa del Clot,INDEPENDÈNCIA / Indústria                         ,2017,February,Saturday,Afternoon
2017S001378    ,Eixample,la Dreta de l'Eixample,CASP / Pau Claris                                 ,2017,February,Saturday,Afternoon
2017S001379    ,Eixample,la Dreta de l'Eixample,AV DIAGONAL                                       ,2017,February,Saturday,Afternoon
2017S001380    ,Eixample,la Dreta de l'Eixample,AV DIAGONAL / Pau Claris                          ,2017,February,Saturday,Night
2017S001381    ,Sarrià-Sant Gervasi,Sarrià,PG BONANOVA / Via Augusta                         ,2017,February,Saturday,Night
2017S001382    ,Sant Martí,Provençals del Poblenou,SELVA DE MAR / Perú                               ,2017,February,Sunday,Night
2017S001383    ,Eixample,la Dreta de l'Eixample,GV CORTS CATALANES / Pg Gràcia                    ,2017,February,Sunday,Night
2017S001384    ,Les Corts,les Corts,G.V. CARLES III / Pl Rna M Cristina               ,2017,February,Sunday,Morning
2017S001385    ,Sarrià-Sant Gervasi,Sarrià,GENERAL VIVES / Anglí                             ,2017,February,Sunday,Morning
2017S001386    ,Nou Barris,les Roquetes,RDA DALT(LLOBREGAT                                ,2017,February,Sunday,Morning
2017S001387    ,Eixample,la Dreta de l'Eixample,ARAGÓ / Roger de Flor                             ,2017,February,Sunday,Morning
2017S001388    ,Sant Martí,el Besòs i el Maresme,PL FÒRUM                                          ,2017,February,Sunday,Afternoon
2017S001390    ,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",PLA PALAU                                         ,2017,February,Sunday,Afternoon
2017S001389    ,Horta-Guinardó,la Teixonera,FASTENRATH / Santa Rosalia                        ,2017,February,Sunday,Afternoon
2017S001391    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,AV DIAGONAL                                       ,2017,February,Sunday,Afternoon
2017S001392    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,MUNTANER                                          ,2017,February,Sunday,Afternoon
2017S001395    ,Sarrià-Sant Gervasi,el Putxet i el Farró,BALMES                                            ,2017,February,Sunday,Afternoon
2017S001393    ,Sant Martí,el Parc i la Llacuna del Poblenou,MARINA                                            ,2017,February,Sunday,Night
2017S001394    ,Gràcia,la Vila de Gràcia,GRAN DE GRÀCIA / Montseny                         ,2017,February,Sunday,Night
2017S001396    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,SANT LLUÍS                                        ,2017,February,Monday,Night
2017S001397    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,AV DIAGONAL                                       ,2017,February,Monday,Night
2017S001399    ,Nou Barris,Torre Baró,AV M DÉU MONTSERRA                                ,2017,February,Monday,Morning
2017S001398    ,Sants-Montjuïc,la Marina del Prat Vermell,MOTORS                                            ,2017,February,Monday,Morning
